model,case_id,label,TP,FP,FN,n_pred,n_gt
nnUNet,Task602_ls_0014,1,10229,2451,6461,12680,16690
nnUNet,Task602_ls_0015,1,11401,2286,1601,13687,13002
nnUNet,Task602_ls_0016,1,16036,3029,6576,19065,22612
nnUNet,Task602_ls_0017,1,17539,1591,5633,19130,23172
nnUNet,Task602_ls_0018,1,6833,648,2798,7481,9631
nnUNet,Task602_ls_0019,1,19626,4362,3971,23988,23597
nnUNet,Task602_ls_0020,1,11414,2149,4930,13563,16344
nnUNet,Task602_ls_0021,1,10178,356,3856,10534,14034
nnUNet,Task602_ls_0022,1,18006,2660,5061,20666,23067
nnUNet,Task602_ls_0023,1,10188,1052,12585,11240,22773
SwinUNETR,Task602_ls_0001,1,8831,3681,840,12512,9671
SwinUNETR,Task602_ls_0002,1,12037,2560,4264,14597,16301
SwinUNETR,Task602_ls_0003,1,10530,2764,1408,13294,11938
SwinUNETR,Task602_ls_0004,1,7733,2525,1827,10258,9560
SwinUNETR,Task602_ls_0005,1,7479,1888,7216,9367,14695
SwinUNETR,Task602_ls_0006,1,10827,2035,4228,12862,15055
SwinUNETR,Task602_ls_0007,1,6654,4015,3059,10669,9713
SwinUNETR,Task602_ls_0008,1,10567,2221,14985,12788,25552
SwinUNETR,Task602_ls_0009,1,13406,3226,2309,16632,15715
SwinUNETR,Task602_ls_0010,1,16110,1705,3031,17815,19141
SwinUNETR,Task602_ls_0011,1,14271,4661,2318,18932,16589
SwinUNETR,Task602_ls_0012,1,13888,5030,3342,18918,17230
SwinUNETR,Task602_ls_0013,1,8525,1491,2451,10016,10976
SwinUNETR,Task602_ls_0014,1,9555,2693,7135,12248,16690
SwinUNETR,Task602_ls_0015,1,11340,2711,1662,14051,13002
SwinUNETR,Task602_ls_0016,1,16248,2668,6364,18916,22612
SwinUNETR,Task602_ls_0017,1,15981,7621,7191,23602,23172
SwinUNETR,Task602_ls_0018,1,6592,1786,3039,8378,9631
SwinUNETR,Task602_ls_0019,1,19253,3285,4344,22538,23597
SwinUNETR,Task602_ls_0020,1,10361,2825,5983,13186,16344
SwinUNETR,Task602_ls_0021,1,9446,480,4588,9926,14034
SwinUNETR,Task602_ls_0022,1,18142,3685,4925,21827,23067
SwinUNETR,Task602_ls_0023,1,8139,897,14634,9036,22773
UMamba,Task602_ls_0001,1,8933,3800,738,12733,9671
UMamba,Task602_ls_0002,1,12861,2790,3440,15651,16301
UMamba,Task602_ls_0003,1,10971,2789,967,13760,11938
UMamba,Task602_ls_0004,1,8550,3047,1010,11597,9560
UMamba,Task602_ls_0005,1,9704,972,4991,10676,14695
UMamba,Task602_ls_0006,1,11056,1444,3999,12500,15055
UMamba,Task602_ls_0007,1,6959,1327,2754,8286,9713
UMamba,Task602_ls_0008,1,16041,5099,9511,21140,25552
UMamba,Task602_ls_0009,1,13548,2971,2167,16519,15715
UMamba,Task602_ls_0010,1,16126,1730,3015,17856,19141
UMamba,Task602_ls_0011,1,15793,5812,796,21605,16589
UMamba,Task602_ls_0012,1,13486,4372,3744,17858,17230
UMamba,Task602_ls_0013,1,8524,1337,2452,9861,10976
UMamba,Task602_ls_0014,1,10709,3360,5981,14069,16690
UMamba,Task602_ls_0015,1,11348,1916,1654,13264,13002
UMamba,Task602_ls_0016,1,15797,2718,6815,18515,22612
UMamba,Task602_ls_0017,1,18069,18588,5103,36657,23172
UMamba,Task602_ls_0018,1,7413,1601,2218,9014,9631
UMamba,Task602_ls_0019,1,20034,4239,3563,24273,23597
UMamba,Task602_ls_0020,1,11542,2440,4802,13982,16344
UMamba,Task602_ls_0021,1,9926,252,4108,10178,14034
UMamba,Task602_ls_0022,1,18235,2797,4832,21032,23067
UMamba,Task602_ls_0023,1,10859,1300,11914,12159,22773
VoComni,Task602_ls_0001,1,8962,4405,709,13367,9671
VoComni,Task602_ls_0002,1,12032,2517,4269,14549,16301
VoComni,Task602_ls_0003,1,10834,2874,1104,13708,11938
VoComni,Task602_ls_0004,1,8138,2397,1422,10535,9560
