model,case_id,label,Dice,IoU,Sensitivity,Precision,Specificity,D95,ASSD
BANet,ESO_TJ_1006597148,1,0.8236174253323358,0.7001271891204384,0.9554072096128171,0.7237786993021139,0.9986930900786826,6.4031242374328485,1.367970215913442
BANet,ESO_TJ_1009540774,1,0.8138660582332962,0.6861502142170149,0.9565455875182838,0.7082261630792834,0.9968924576978234,6.082762530298219,1.5476906276892688
BANet,ESO_TJ_1011025579,1,0.7364262924545241,0.5828122950461283,0.9515973585579154,0.6006173117649709,0.9826301416573826,28.705400188814647,4.78373131996517
BANet,ESO_TJ_2002525279,1,0.9045326738211956,0.8257048404870051,0.8823090178058587,0.9279047992992842,0.9988425723889267,4.69041575982343,1.03023887934959
BANet,ESO_TJ_60010337722,1,0.7958682796737913,0.6609478566499222,0.7874830296192898,0.8044340267604259,0.995103809316553,12.36931687685298,2.656461991587694
BANet,ESO_TJ_60010480766,1,0.9319503294881906,0.8725720865038046,0.9225903773884507,0.9415021470818592,0.9989482199861511,2.0,0.6588879597178635
BANet,ESO_TJ_60010624985,1,0.8347526425660228,0.7163737701188648,0.7674092727605044,0.9150523053080202,0.9982870349346237,24.575376941593184,3.3079852458417696
BANet,ESO_TJ_60011080900,1,0.8634344929681718,0.7596873982416151,0.8921606118546845,0.8365005378271781,0.9977981672639621,5.0990195135927845,1.1255238116415323
BANet,ESO_TJ_60011421532,1,0.7776679090286758,0.6362165525824518,0.8392021669539522,0.7245411381191977,0.9904554332329685,11.74734012447073,2.4200310010512345
BANet,ESO_TJ_60011847427,1,0.8609752849179018,0.7558881502021181,0.9731612903225807,0.7719813026715343,0.996777571939272,8.0,1.4579785360235444
BANet,ESO_TJ_60012144508,1,0.8929530630515411,0.8066081330868762,0.8431730696656351,0.9489797652015834,0.998521350312939,9.848857801796104,1.685913292853281
BANet,ESO_TJ_60012146817,1,0.8997674614745111,0.8177975382189321,0.8951727940735769,0.904409538457812,0.9960804060526516,8.774964387392123,1.7801193731921663
BANet,ESO_TJ_60012502984,1,0.9166626822854411,0.8461470562273811,0.9233288383741091,0.9100920915218836,0.9995461886072734,2.23606797749979,0.5533638252969495
BANet,ESO_TJ_60012584102,1,0.8130867341433412,0.6850430924760901,0.7242320556687555,0.9267932697038276,0.9992815554324886,28.372521918222215,4.185034853087525
BANet,ESO_TJ_60012593315,1,0.9659068611419975,0.9340617637292263,0.9715145634261467,0.9603635240371328,0.9988027592519749,1.4142135623730951,0.46034117607232405
BANet,ESO_TJ_60012747242,1,0.0,0.0,0.0,0.0,0.9986283896118787,92.17917335276988,65.48745269862117
BANet,ESO_TJ_60012847127,1,0.9052267046485973,0.8268622448979592,0.9237367836073983,0.8874438725221772,0.9980063654699202,5.0,0.9678142463316477
BANet,ESO_TJ_60012960767,1,0.9090458439086294,0.833257601919337,0.8891410174356588,0.9298622801857899,0.998309534995021,11.49774681370619,1.5930979029747752
BANet,ESO_TJ_60013071191,1,0.6681277687106552,0.5016455430291996,0.6908389585342334,0.64686230248307,0.9981258224385681,39.06788855956945,7.378137375518989
BANet,ESO_TJ_60013319680,1,0.8947099150721375,0.809479725976671,0.8969125038465484,0.8925181177911605,0.9994955454217513,3.1622776601683795,0.7542021490141566
BANet,ESO_TJ_60013348842,1,0.8188940243222866,0.6933281527531083,0.9510430942591747,0.71898923617107,0.9976574098688207,13.0,1.950870248569415
BANet,ESO_TJ_60013935451,1,0.9039321800606875,0.8247046064273075,0.9057739326687982,0.9020979020979021,0.9984815397651616,6.164414002968976,1.287356453869866
BANet,ESO_TJ_60014016636,1,0.8899198119148579,0.8016716463068719,0.8374288874841972,0.949431156499149,0.9994550737508688,7.280109889280518,1.2343700391470813
BANet,ESO_TJ_60014034454,1,0.9097608193342909,0.8344598464887157,0.9107276819204801,0.9087960074859638,0.9996500975993153,2.0,0.5616142354295155
BANet,ESO_TJ_60014554249,1,0.8907709552870843,0.8030541208174264,0.9152802661888917,0.8675400291120815,0.9994773464130744,2.23606797749979,0.6784093399710704
BANet,ESO_TJ_60014724547,1,0.8983921318519016,0.8155280638673899,0.9090415053325182,0.8879893828798938,0.9991894089167901,1.7320508075688772,0.586480454538144
BANet,ESO_TJ_60014732202,1,0.9417619640082627,0.8899339581247258,0.9174737574667982,0.967371098718325,0.9986732553033735,3.0,0.713453874308211
BANet,ESO_TJ_60015089324,1,0.8943241141841608,0.8088483484690188,0.8997005318911188,0.8890115714159527,0.9987887866611336,4.123105625617661,1.0014801572262686
