model,case_id,label,Dice,IoU,Sensitivity,Precision,Specificity,D95,ASSD
BANet,ESO_TJ_1009540774,1,0.8138660582332962,0.6861502142170149,0.9565455875182838,0.7082261630792834,0.9968924576978234,6.082762530298219,1.5476906276892688
BANet,ESO_TJ_1010687575,1,0.9178160230271049,0.8481145928573408,0.9583907326236694,0.8805373374755494,0.9979890684346208,3.3166247903554,0.8443087486265972
BANet,ESO_TJ_1010828627,1,0.8239399987902982,0.7005935053847498,0.8527305506172221,0.797030050552331,0.9914017800223865,12.328828005937952,2.7391209444589895
BANet,ESO_TJ_1010895787,1,0.9544888642965832,0.9129399311987298,0.9369907658881043,0.9726529461516775,0.9997195261823755,1.4142135623730951,0.4294812734280741
BANet,ESO_TJ_2002525279,1,0.9045326738211956,0.8257048404870051,0.8823090178058587,0.9279047992992842,0.9988425723889267,4.69041575982343,1.03023887934959
BANet,ESO_TJ_60010327711,1,0.8129648477256713,0.6848700699116211,0.9223663172854859,0.7267637178051511,0.9990667088050191,4.358898943540674,0.897135163159443
BANet,ESO_TJ_60010382966,1,0.9233334131029587,0.8575852769463296,0.8791851491766421,0.9721499000554314,0.9991837835815458,3.3166247903554,0.8505185746700541
BANet,ESO_TJ_60011065111,1,0.8787475962469187,0.783719698888096,0.9069451474545116,0.8522505382266059,0.9971344158981169,3.7416573867739413,1.203477970896591
BANet,ESO_TJ_60011620755,1,0.9324712028433177,0.8734857601283594,0.9508838119192342,0.9147581200746056,0.9975131133879112,3.0,0.8658315906969247
BANet,ESO_TJ_60011847427,1,0.8609752849179018,0.7558881502021181,0.9731612903225807,0.7719813026715343,0.996777571939272,8.0,1.4579785360235444
BANet,ESO_TJ_60011862918,1,0.9439794388520025,0.893902518172378,0.9622222998463044,0.9264154433402276,0.9978547925972696,3.1622776601683795,0.8173534322607513
BANet,ESO_TJ_60012144508,1,0.8929530630515411,0.8066081330868762,0.8431730696656351,0.9489797652015834,0.998521350312939,9.848857801796104,1.685913292853281
BANet,ESO_TJ_60012435642,1,0.9137817869704976,0.8412506584859472,0.8788889248599825,0.9515597616543989,0.9993311596829639,3.3166247903554,0.9560582972233039
BANet,ESO_TJ_60012576709,1,0.8730706816823046,0.7747341980468158,0.818156871712783,0.9358863689868948,0.9988063827113959,16.30950643030009,2.2327609748053683
BANet,ESO_TJ_60012584102,1,0.8130867341433412,0.6850430924760901,0.7242320556687555,0.9267932697038276,0.9992815554324886,28.372521918222215,4.185034853087525
BANet,ESO_TJ_60012747242,1,0.0,0.0,0.0,0.0,0.9986283896118787,92.17917335276988,65.48745269862117
BANet,ESO_TJ_60013071191,1,0.6681277687106552,0.5016455430291996,0.6908389585342334,0.64686230248307,0.9981258224385681,39.06788855956945,7.378137375518989
BANet,ESO_TJ_60014029091,1,0.9100734976221357,0.8349861166203887,0.9052650979910303,0.9149332505433095,0.9993416231152761,2.23606797749979,0.7273569844731198
BANet,ESO_TJ_60014034454,1,0.9097608193342909,0.8344598464887157,0.9107276819204801,0.9087960074859638,0.9996500975993153,2.0,0.5616142354295155
BANet,ESO_TJ_60014189974,1,0.69346159340921,0.5307625018224231,0.6669414674361088,0.7221781392580837,0.9986573899872258,16.30950643030009,3.5281068298672653
BANet,ESO_TJ_60014209128,1,0.7153225046341387,0.5568109562240157,0.7661350023554748,0.6708308780200354,0.9973173804070801,8.12403840463596,1.8977000402105033
BANet,ESO_TJ_60014633120,1,0.8578794575154902,0.7511286467620167,0.8512403800679307,0.8646229092973492,0.9985052266438047,5.0990195135927845,1.1743223167541046
BANet,ESO_TJ_60014732202,1,0.9417619640082627,0.8899339581247258,0.9174737574667982,0.967371098718325,0.9986732553033735,3.0,0.713453874308211
BANet,ESO_TJ_60015056471,1,0.9364742562681332,0.8805374592833877,0.9052702080455439,0.9699062654168722,0.999676355580551,3.1622776601683795,0.7214433513256154
BANet,ESO_TJ_60015089324,1,0.8943241141841608,0.8088483484690188,0.8997005318911188,0.8890115714159527,0.9987887866611336,4.123105625617661,1.0014801572262686
BANet,ESO_TJ_60015100386,1,0.9272578667756436,0.8643809523809524,0.9472915144556936,0.9080540270135068,0.9991154914123744,2.0,0.5908341505793611
BANet,ESO_TJ_60015246879,1,0.9428216147821724,0.8918283120099051,0.9716932347055781,0.9156161945721489,0.9980596051493783,2.23606797749979,0.5965921687486204
BANet,ESO_TJ_60015261297,1,0.923963436379676,0.858672899804633,0.968062930186824,0.8837067356024702,0.998436570069319,2.8284271247461903,0.646414253386462
BANet,ESO_TJ_60015566054,1,0.9679719346087747,0.937931793784922,0.9631702422340936,0.9728217426059153,0.9995382614865943,1.0,0.3646482198715697
BANet,ESO_TJ_60015765657,1,0.975449887289384,0.9520763066519711,0.9675349283747252,0.9834954115874538,0.99902547956464,1.0,0.36451706642726783
